id_venta,fecha,id_cliente,producto,cantidad,precio_unitario,total
1,2024-02-10,5,Monitor,2,120.23,240.46
2,2024-02-27,2,Impresora,1,33.54,33.54
3,2024-04-17,9,Notebook,5,167.08,835.4
4,2024-09-23,4,Tablet,5,229.77,1148.85
5,2024-01-15,7,Webcam,3,132.83,398.49
6,2024-06-13,2,Impresora,1,293.59,293.59
7,2024-06-18,1,Tablet,5,108.61,543.05
8,2024-07-12,9,Auriculares,5,709.51,3547.55
9,2024-06-28,4,Mouse,1,532.4,532.4
10,2024-05-12,4,Mouse,4,229.6,918.4
11,2024-06-15,6,Webcam,2,539.44,1078.88
12,2024-02-15,9,Monitor,2,375.19,750.38
13,2024-05-27,4,Webcam,1,190.95,190.95
14,2024-01-20,7,Auriculares,1,176.68,176.68
15,2024-06-16,8,Impresora,4,122.87,491.48
16,2024-03-17,9,Auriculares,5,348.46,1742.3
17,2024-07-21,4,Teclado,5,399.88,1999.4
18,2024-01-13,3,Teclado,4,481.16,1924.64
19,2024-07-22,10,Tablet,5,208.62,1043.1
20,2024-09-10,2,Auriculares,3,98.13,294.39
21,2024-07-15,8,Notebook,3,777.79,2333.37
22,2024-03-26,2,Auriculares,5,491.09,2455.45
23,2024-03-21,3,Notebook,5,266.08,1330.4
24,2024-01-13,6,Auriculares,2,55.76,111.52
25,2024-02-12,8,Mouse,5,615.01,3075.05
26,2024-03-25,9,Teclado,3,426.86,1280.58
27,2024-07-16,9,Monitor,3,325.2,975.6
28,2024-06-24,9,Tablet,1,205.85,205.85
29,2024-02-20,1,Monitor,5,183.97,919.85
30,2024-02-11,4,Mouse,1,689.11,689.11
